account,userName,parentId,begin,end,title,account_name,parent_id,user_name,ctime,etime
'','a0b1b2b300','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a0b1b2b300'查询近7天数据",'','','a0b1b2b300','-7','-1'
'','a0b1b2b301','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a0b1b2b301'查询近7天数据",'','','a0b1b2b301','-7','-1'
'','a0b1b2b3a3','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a0b1b2b3a3'查询近7天数据",'','','a0b1b2b3a3','-7','-1'
'','a0b1b2b3a4','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a0b1b2b3a4'查询近7天数据",'','','a0b1b2b3a4','-7','-1'
'','a16000000100','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000100'查询近7天数据",'','','a16000000100','-7','-1'
'','a16000000101','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000101'查询近7天数据",'','','a16000000101','-7','-1'
'','a16000000102','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a0b1b2b3a4'查询近7天数据",'','','a16000000102','-7','-1'
'','a16000000103','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000103'查询近7天数据",'','','a16000000103','-7','-1'
'','a16000000104','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000104'查询近7天数据",'','','a16000000104','-7','-1'
'','a16000000105','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000105'查询近7天数据",'','','a16000000105','-7','-1'
'','a16000000106','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000106'查询近7天数据",'','','a16000000106','-7','-1'
'','a16000000107','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000107'查询近7天数据",'','','a16000000107','-7','-1'
'','a16000000108','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000108'查询近7天数据",'','','a16000000108','-7','-1'
'','a16000000109','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000109'查询近7天数据",'','','a16000000109','-7','-1'
'','a16000000001','','-7','-1',"总台-代理报表-总代盈亏(详情),-注单详情,根据会员账号'a16000000001'查询近7天数据",'','','a16000000001','-7','-1'
