userName,orderNo,sportId,result,status,betType,betBegin,betEnd,settleBegin,settleEnd,sortBy,sortIndex,sortParameter,title,sortIndex,Parameter,sport_id
'','',[],[],[],'','-30','0','-30','0','','','',"管理后台-总台-数据源对账报表-底部总计,默认按投注时间和结算时间查询近30天数据",'','',''
'','',[],[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,默认按投注时间和结算时间查询近7天数据",'','',''
'a0b1b2b301','',[],[],[],'','-30','0','-30','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据会员账号'a0b1b2b301'查询近30天数据",'','',''
'','XLjgkxqnpaAT',[],[],[],'','-30','0','-30','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单号'XLjgkxqnpaAT'查询近30天数据",'','',''
'','',"[sr:sport:1]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'足球'查询近7天数据",'','',"[sr:sport:1]"
'','',"[sr:sport:2]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'篮球'查询近7天数据",'','',"[sr:sport:2]"
'','',"[sr:sport:5]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'网球'查询近7天数据",'','',"[sr:sport:5]"
'','',"[sr:sport:23]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'排球'查询近7天数据",'','',"[sr:sport:23]"
'','',"[sr:sport:31]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'羽毛球'查询近7天数据",'','',"[sr:sport:31]"
'','',"[sr:sport:20]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'乒乓球'查询近7天数据",'','',"[sr:sport:20]"
'','',"[sr:sport:3]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'棒球'查询近7天数据",'','',"[sr:sport:3]"
'','',"[sr:sport:4]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'冰上曲棍球'查询近7天数据",'','',"[sr:sport:4]"
'','',"[sr:sport:1,sr:sport:5]",[],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据球类'足球'和'网球'查询近7天数据",'','',"[sr:sport:1,sr:sport:5]"
'','',[],[1],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单结果'赢'查询近7天数据",'','',''
'','',[],[2],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单结果'输'查询近7天数据",'','',''
'','',[],[5],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单结果'走水'查询近7天数据",'','',''
'','',[],[6],[],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单结果'取消'查询近7天数据",'','',''
'','',[],[],[1],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单状态'未结算'查询近7天数据",'','',''
'','',[],[],[2],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单状态'已结算'查询近7天数据",'','',''
'','',[],[],[3],'','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单状态'已取消'查询近7天数据",'','',''
'','',[],[],[],'1','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单类型'单注'查询近7天数据",'','',''
'','',[],[],[],'2','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单类型'串关'查询近7天数据",'','',''
'','',[],[],[],'3','-6','0','-6','0','','','',"管理后台-总台-数据源对账报表-底部总计,按投注时间和结算时间根据注单类型'复式串关'查询近7天数据",'','',''
